Categoría: Todas las categorías

Mes,summer: (Todo el mundo),travel: (Todo el mundo)
2004-01,26,98
2004-02,28,92
2004-03,33,91
2004-04,40,89
2004-05,45,88
2004-06,49,94
2004-07,39,100
2004-08,30,95
2004-09,18,83
2004-10,16,78
2004-11,16,74
2004-12,17,73
2005-01,23,94
2005-02,26,88
2005-03,31,86
2005-04,36,82
2005-05,42,86
2005-06,51,88
2005-07,42,94
2005-08,28,84
2005-09,18,75
2005-10,17,71
2005-11,16,68
2005-12,17,63
2006-01,24,84
2006-02,27,78
2006-03,29,75
2006-04,35,78
2006-05,41,76
2006-06,50,79
2006-07,41,88
2006-08,26,81
2006-09,17,72
2006-10,15,67
2006-11,14,63
2006-12,14,60
2007-01,21,81
2007-02,23,71
2007-03,29,72
2007-04,33,71
2007-05,41,71
2007-06,47,76
2007-07,40,79
2007-08,26,73
2007-09,18,65
2007-10,16,60
2007-11,14,56
2007-12,15,54
2008-01,21,71
2008-02,24,67
2008-03,28,64
2008-04,33,61
2008-05,41,62
2008-06,54,65
2008-07,41,66
2008-08,33,61
2008-09,18,54
2008-10,16,47
2008-11,15,46
2008-12,16,45
2009-01,22,57
2009-02,23,58
2009-03,29,56
2009-04,32,54
2009-05,40,56
2009-06,46,57
2009-07,41,62
2009-08,30,57
2009-09,19,50
2009-10,16,47
2009-11,16,45
2009-12,17,43
2010-01,24,54
2010-02,26,51
2010-03,30,51
2010-04,34,50
2010-05,39,49
2010-06,48,51
2010-07,42,54
2010-08,30,51
2010-09,19,45
2010-10,15,41
2010-11,15,40
2010-12,15,41
2011-01,21,49
2011-02,22,45
2011-03,27,45
2011-04,31,43
2011-05,39,45
2011-06,52,47
2011-07,41,48
2011-08,29,45
2011-09,17,40
2011-10,15,37
2011-11,14,36
2011-12,15,34
2012-01,21,43
2012-02,23,41
2012-03,28,39
2012-04,31,40
2012-05,53,41
2012-06,53,43
2012-07,47,45
2012-08,33,42
2012-09,22,38
2012-10,15,35
2012-11,14,34
2012-12,15,32
2013-01,19,41
2013-02,22,39
2013-03,27,39
2013-04,32,38
2013-05,40,40
2013-06,52,41
2013-07,47,43
2013-08,31,40
2013-09,19,36
2013-10,15,34
2013-11,14,33
2013-12,15,33
2014-01,21,41
2014-02,25,40
2014-03,30,37
2014-04,36,38
2014-05,45,38
2014-06,56,40
2014-07,49,43
2014-08,34,40
2014-09,22,36
2014-10,17,33
2014-11,16,33
2014-12,17,32
2015-01,22,40
2015-02,23,37
2015-03,29,38
2015-04,33,37
2015-05,42,38
2015-06,53,41
2015-07,47,42
2015-08,37,39
2015-09,21,35
2015-10,17,33
2015-11,17,33
2015-12,18,32
2016-01,23,38
2016-02,25,37
2016-03,29,37
2016-04,34,36
2016-05,41,37
2016-06,53,40
2016-07,44,40
2016-08,41,37
2016-09,19,36
2016-10,15,32
2016-11,15,33
2016-12,15,33
2017-01,20,40
2017-02,22,39
2017-03,27,38
2017-04,33,37
2017-05,39,38
2017-06,51,40
2017-07,44,41
2017-08,30,40
2017-09,17,37
2017-10,15,35
2017-11,14,34
2017-12,15,34
2018-01,19,40
2018-02,23,38
2018-03,26,38
2018-04,32,38
2018-05,42,37
2018-06,49,40
2018-07,44,41
2018-08,29,39
2018-09,18,34
2018-10,15,33
2018-11,14,33
2018-12,16,33
2019-01,20,39
2019-02,22,37
2019-03,26,38
2019-04,33,37
2019-05,40,38
2019-06,50,40
2019-07,44,40
2019-08,30,39
2019-09,18,38
2019-10,16,35
2019-11,16,35
2019-12,16,35
2020-01,19,41
2020-02,22,41
2020-03,20,52
2020-04,23,25
2020-05,32,30
2020-06,35,32
